"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
14.218,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
17.724,1,2.24,0,0,0,0,1,0,0,0,0,0
13.319,1,2.24,0,0,0,0,1,0,0,0,0,0
8.161,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
15.224,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
14.649,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
24.809,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
9.031,1,2.24,0,0,0,0,1,0,0,0,0,0
9.294,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
9.947,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
24.237,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
7.014,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
20.026,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
10.664,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
7.043,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
18.742,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
12.957,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
46.475,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
48.445,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
10.557,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
12.56,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
63.21,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
15.371,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
48.528,48,47.9316864013672,0,0,1,0,0,0,0,0,0,0
26.675,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
7.458,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
22.904,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
22.535,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
14.947,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
22.615,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
17.793,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
17.617,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
10.087,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
27.756,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
15.532,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
19.691,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
