"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
39.356,4,2.4340085983276367,0,1,0,0,0,0,0,0,0,0
45.255,5,3.1678619384765625,0,1,0,0,0,0,0,0,0,0
47.768,5,3.1678619384765625,0,1,0,0,0,0,0,0,0,0
50.045,5,3.1678619384765625,0,1,0,0,0,0,0,0,0,0
47.978,5,3.1678619384765625,0,1,0,0,0,0,0,0,0,0
75.474,8,5.069184303283691,0,1,0,0,0,0,0,0,0,0
73.264,8,5.069184303283691,0,1,0,0,0,0,0,0,0,0
75.582,8,5.069184303283691,0,1,0,0,0,0,0,0,0,0
21.496,2,1.260941505432129,0,1,0,0,0,0,0,0,0,0
18.843,2,1.260941505432129,0,1,0,0,0,0,0,0,0,0
24.121,2,1.260941505432129,0,1,0,0,0,0,0,0,0,0
19.434,2,1.260941505432129,0,1,0,0,0,0,0,0,0,0
19.147,2,1.260941505432129,0,1,0,0,0,0,0,0,0,0
65.434,7,4.423772811889648,0,1,0,0,0,0,0,0,0,0
64.719,7,4.423772811889648,0,1,0,0,0,0,0,0,0,0
67.708,7,4.423772811889648,0,1,0,0,0,0,0,0,0,0
68.657,7,4.423772811889648,0,1,0,0,0,0,0,0,0,0
94.284,10,6.086709976196289,0,1,0,0,0,0,0,0,0,0
98.159,10,6.086709976196289,0,1,0,0,0,0,0,0,0,0
91.472,10,6.086709976196289,0,1,0,0,0,0,0,0,0,0
18.091,1,0.7383966445922852,0,1,0,0,0,0,0,0,0,0
10.179,1,0.7383966445922852,0,1,0,0,0,0,0,0,0,0
12.392,1,0.7383966445922852,0,1,0,0,0,0,0,0,0,0
6.393,1,0.7383966445922852,0,1,0,0,0,0,0,0,0,0
9.87,1,0.7383966445922852,0,1,0,0,0,0,0,0,0,0
36.625,4,2.4340085983276367,0,1,0,0,0,0,0,0,0,0
37.821,4,2.4340085983276367,0,1,0,0,0,0,0,0,0,0
37.814,4,2.4340085983276367,0,1,0,0,0,0,0,0,0,0
32.444,3,1.7453680038452148,0,1,0,0,0,0,0,0,0,0
28.667,3,1.7453680038452148,0,1,0,0,0,0,0,0,0,0
